home_team,away_team,actual_total,minimum_line,sim_mean,hit_rate,cushion,hit_over
Pittsburgh,Quinnipiac,158,146.5,158.3271707533638,73.4,11.827170753363788,True
Furman,Queens (NC),169,155.0,166.81031354956068,78.08,11.810313549560675,True
South Carolina,Northwestern,156,145.0,157.14422081809278,81.45,12.144220818092776,True
Col. of Charleston,Yale,137,155.0,167.01603410676285,85.8,12.016034106762845,False
Western Ill.,North Dakota,147,134.5,146.36189965378261,70.91,11.861899653782615,True
UConn,Bryant,121,129.5,141.61513222141127,75.09,12.115132221411272,False
DePaul,Detroit Mercy,170,152.5,164.27080941066808,73.66,11.770809410668079,True
Boston College,Tulane,183,145.5,157.28788025050792,75.7,11.787880250507925,True
Middle Tenn.,Murray St.,177,145.5,157.41820780832333,70.28999999999999,11.91820780832333,True
Marshall,Mercyhurst,129,144.5,156.45826861848425,78.07,11.958268618484254,False
Evansville,Akron,156,156.0,168.01954609246818,78.63,12.019546092468175,False
Wyoming,Norfolk St.,142,138.5,150.67706268540974,68.38,12.177062685409737,True
Columbia,Longwood,165,154.5,166.47592119589947,71.39999999999999,11.975921195899474,True
Northern Colo.,Cal St. Fullerton,190,140.0,152.11296948083114,69.05,12.11296948083114,True
Georgia,Clemson,191,151.0,163.1129677692974,78.08,12.112967769297398,True
Miami (FL),Delaware St.,138,132.5,144.43550157161587,83.91,11.935501571615873,True
SIUE,Alabama St.,151,138.5,150.53440729737795,71.06,12.034407297377953,True
Canisius,Binghamton,141,140.5,152.66931619367966,77.98,12.169316193679663,True
ETSU,ULM,152,124.0,136.05305280094748,74.74,12.053052800947484,True
Montana,Lamar University,131,145.5,157.28267497821892,74.37,11.782674978218921,False
Portland,St. Thomas (MN),142,151.0,162.90330993427924,71.24000000000001,11.903309934279235,False
Southern Miss.,UT Martin,130,135.5,147.5928055233803,83.00999999999999,12.092805523380292,False
Davidson,Utah St.,154,150.0,162.16144156601075,70.56,12.161441566010751,True
Missouri St.,UTRGV,141,131.0,142.99295878397191,72.1,11.992958783971915,True
UIC,Southern Ind.,157,135.5,147.60182918205803,88.92999999999999,12.101829182058026,True
CSU Bakersfield,Mississippi Val.,156,136.5,148.43439171971687,80.62,11.93439171971687,True
A&M-Corpus Christi,Howard Payne,197,134.0,145.96828577247737,68.69,11.968285772477373,True
Eastern Ky.,Mercer,178,139.0,151.15760148726284,70.97,12.157601487262838,True
UMES,Binghamton,115,133.5,145.31745258919196,70.53,11.817452589191959,False
Cal St. Fullerton,St. Thomas (MN),168,153.5,165.3208764760968,68.36,11.8208764760968,True
Chattanooga,North Ala.,128,136.5,148.44937673009107,94.38,11.949376730091075,False
Southern Miss.,North Florida,175,153.5,165.7290375157208,83.77,12.22903751572079,True
Lipscomb,Western Caro.,145,133.0,144.90536935985918,80.83,11.90536935985918,True
Richmond,Gardner-Webb,169,137.0,148.79076552204486,82.66,11.790765522044865,True
Saint Mary's (CA),UC Merced,138,131.5,143.71824587521184,79.89,12.218245875211835,True
UC Irvine,UNI,139,141.0,153.127008770802,64.14999999999999,12.127008770802007,False
Idaho,Eastern Ore.,165,139.0,151.01984413613653,78.75999999999999,12.019844136136527,True
Southern Utah,Nobel,171,136.0,148.20135293778023,71.93,12.201352937780229,True
Portland,Northern Colo.,166,137.5,149.3883720082802,71.86,11.888372008280186,True
Nevada,UC Santa Barbara,141,149.5,161.65895807431323,86.02,12.158958074313233,False
VCU,Coppin St.,159,146.0,157.87695333905125,88.81,11.876953339051255,True
High Point,UIW,171,142.5,154.5537798725293,74.07000000000001,12.053779872529304,True
ULM,Morehead St.,163,135.0,147.01916937957387,76.84,12.019169379573867,True
Weber St.,UT Arlington,147,146.5,158.54186643346063,67.73,12.041866433460626,True
Stetson,VMI,179,148.5,160.33598073621008,68.0,11.835980736210075,True
Minnesota,San Francisco,142,142.0,153.9812903349915,76.44999999999999,11.981290334991513,False
La Salle,Lancaster Bible,121,132.0,143.9789451327689,76.47,11.9789451327689,False
Prairie View,UT Martin,137,138.0,149.82852107321852,76.68,11.828521073218525,False
Providence,Penn St.,142,161.5,173.7285664021146,79.24,12.228566402114609,False
Oklahoma St.,Nicholls,176,152.5,164.74834677513678,79.86999999999999,12.248346775136781,True
Howard,Niagara,150,139.0,151.0881371807647,69.8,12.088137180764704,True
Northeastern,Duquesne,179,151.0,163.1736242765424,83.21,12.173624276542398,True
Oregon St.,Iona,175,153.5,165.48120531520584,82.33,11.981205315205841,True
Kent St.,Cleveland St.,162,162.5,174.58086130035227,72.23,12.080861300352268,False
Saint Peter's,UMass Lowell,134,146.0,158.09350549960445,78.91,12.093505499604447,False
