home_team,away_team,actual_total,maximum_line,sim_mean,under_hit_rate,cushion,under_won,margin,prediction_error,game_date
San Diego,UC Riverside,156,172.5507106112876,160.5507106112876,81.3,16.5507106112876,True,16.5507106112876,-4.550710611287599,2025-11-21
Purdue,Texas Tech,142,177.17620681147102,165.17620681147102,80.08,35.17620681147102,True,35.17620681147102,-23.17620681147102,2025-11-21
California Baptist,Grambling,131,170.69144213384064,158.69144213384064,84.68,39.69144213384064,True,39.69144213384064,-27.69144213384064,2025-11-21
Wright St.,Ohio Wesleyan,147,170.93686201847694,158.93686201847694,80.02,23.936862018476944,True,23.936862018476944,-11.936862018476944,2025-11-20
Kansas St.,Mississippi St.,175,172.2815025479484,160.2815025479484,87.14,-2.7184974520515937,False,-2.7184974520515937,14.718497452051594,2025-11-20
Fla. Atlantic,Pacific,141,158.8733231779484,146.8733231779484,80.38,17.873323177948407,True,17.873323177948407,-5.873323177948407,2025-11-20
New Mexico,Nebraska,156,168.868354524374,156.868354524374,82.94,12.868354524374013,True,12.868354524374013,-0.8683545243740127,2025-11-20
Houston Christian,Biblical Stud. (TX),152,158.49076795586237,146.49076795586237,81.98,6.490767955862367,True,6.490767955862367,5.509232044137633,2025-11-20
St. Bonaventure,Robert Morris,136,168.51257975718394,156.51257975718394,82.76,32.51257975718394,True,32.51257975718394,-20.512579757183943,2025-11-20
UCF,Pittsburgh,144,174.01268399884012,162.01268399884012,82.19999999999999,30.012683998840117,True,30.012683998840117,-18.012683998840117,2025-11-20
Purdue,Memphis,151,173.64179647250083,161.64179647250083,97.0,22.64179647250083,True,22.64179647250083,-10.641796472500829,2025-11-20
Belmont,Lipscomb,143,164.14858577820775,152.14858577820775,80.14,21.148585778207746,True,21.148585778207746,-9.148585778207746,2025-11-19
South Carolina St.,Chattanooga,144,166.6118441458842,154.6118441458842,82.26,22.61184414588419,True,22.61184414588419,-10.611844145884191,2025-11-19
Saint Mary's (CA),Arkansas St.,157,166.77145862209957,154.77145862209957,82.56,9.771458622099573,True,9.771458622099573,2.2285413779004273,2025-11-19
Auburn,Jackson St.,178,176.4254051404757,164.4254051404757,80.5,-1.5745948595242965,False,-1.5745948595242965,13.574594859524296,2025-11-19
Eastern Ill.,Tiffin,112,147.88448046598066,135.88448046598066,83.24000000000001,35.88448046598066,True,35.88448046598066,-23.88448046598066,2025-11-19
Marquette,Dayton,148,164.851339785056,152.851339785056,81.94,16.851339785056012,True,16.851339785056012,-4.8513397850560125,2025-11-19
Long Beach St.,Nobel,141,157.15703380188606,145.15703380188606,80.58,16.157033801886058,True,16.157033801886058,-4.157033801886058,2025-11-19
Penn St.,Harvard,164,173.93879902567414,161.93879902567414,81.47999999999999,9.938799025674143,True,9.938799025674143,2.061200974325857,2025-11-19
Southeastern La.,William Carey,116,147.96554391548645,135.96554391548645,80.94,31.96554391548645,True,31.96554391548645,-19.96554391548645,2025-11-19
Temple,Hofstra,157,173.80871815952017,161.80871815952017,89.66,16.80871815952017,True,16.80871815952017,-4.8087181595201685,2025-11-19
California Baptist,UC Riverside,137,170.70514624852888,158.70514624852888,83.7,33.70514624852888,True,33.70514624852888,-21.705146248528877,2025-11-18
Nevada,UC Davis,146,164.29325179906348,152.29325179906348,88.53999999999999,18.293251799063484,True,18.293251799063484,-6.2932517990634835,2025-11-18
Stanford,Louisiana,159,166.75639761737315,154.75639761737315,84.39999999999999,7.756397617373153,True,7.756397617373153,4.243602382626847,2025-11-18
San Diego,Grambling,146,172.81966408318402,160.81966408318402,82.54,26.819664083184023,True,26.819664083184023,-14.819664083184023,2025-11-18
Western Ky.,Bethel (TN),164,147.79222708774049,135.79222708774049,80.74,-16.207772912259514,False,-16.207772912259514,28.207772912259514,2025-11-18
Fresno St.,SFA,158,156.53481736404115,144.53481736404115,80.84,-1.465182635958854,False,-1.465182635958854,13.465182635958854,2025-11-18
LSU,Alcorn,188,173.62292376215626,161.62292376215626,85.42,-14.377076237843738,False,-14.377076237843738,26.37707623784374,2025-11-18
South Carolina,Radford,145,171.64992824403498,159.64992824403498,80.88,26.64992824403498,True,26.64992824403498,-14.649928244034982,2025-11-18
Lehigh,Saint Francis,141,163.47195371244646,151.47195371244646,80.14,22.471953712446464,True,22.471953712446464,-10.471953712446464,2025-11-18
North Carolina,Navy,134,169.2815256130857,157.2815256130857,81.12,35.281525613085705,True,35.281525613085705,-23.281525613085705,2025-11-18
Oregon,Oregon St.,162,170.2484625922416,158.2484625922416,85.98,8.248462592241594,True,8.248462592241594,3.7515374077584056,2025-11-17
West Virginia,Lafayette,140,164.39285260283495,152.39285260283495,90.48,24.39285260283495,True,24.39285260283495,-12.39285260283495,2025-11-17
Le Moyne,Niagara,142,170.87038419073,158.87038419073,80.17999999999999,28.870384190729993,True,28.870384190729993,-16.870384190729993,2025-11-17
Siena,Colgate,141,173.7124473128071,161.7124473128071,81.62,32.712447312807086,True,32.712447312807086,-20.712447312807086,2025-11-17
Georgia,Florida A&M,144,168.73573500413946,156.73573500413946,81.14,24.735735004139457,True,24.735735004139457,-12.735735004139457,2025-11-17
Purdue,Akron,176,182.76189354480942,170.76189354480942,86.44,6.761893544809425,True,6.761893544809425,5.238106455190575,2025-11-16
Memphis,UNLV,170,171.98445481914487,159.98445481914487,83.98,1.9844548191448723,True,1.9844548191448723,10.015545180855128,2025-11-16
Vanderbilt,Ark.-Pine Bluff,179,164.352991487747,152.352991487747,81.58,-14.647008512252995,False,-14.647008512252995,26.647008512252995,2025-11-15
Temple,Boston College,147,171.4504698628401,159.4504698628401,81.36,24.450469862840094,True,24.450469862840094,-12.450469862840094,2025-11-15
Georgetown,Clemson,153,169.98013860934986,157.98013860934986,83.2,16.980138609349865,True,16.980138609349865,-4.980138609349865,2025-11-15
Toledo,Detroit Mercy,173,175.9227645576926,163.9227645576926,81.36,2.9227645576926022,True,2.9227645576926022,9.077235442307398,2025-11-15
FGCU,Chattanooga,164,161.23061075504128,149.23061075504128,82.46,-2.7693892449587167,False,-2.7693892449587167,14.769389244958717,2025-11-15
La Salle,Penn St.,152,172.75611156282693,160.75611156282693,81.12,20.75611156282693,True,20.75611156282693,-8.75611156282693,2025-11-15
Army West Point,Harvard,127,170.9476893466827,158.9476893466827,82.02000000000001,43.947689346682694,True,43.947689346682694,-31.947689346682694,2025-11-15
Southeast Mo. St.,St. Thomas (MN),156,158.00729231508217,146.00729231508217,86.38,2.007292315082168,True,2.007292315082168,9.992707684917832,2025-11-15
Mississippi St.,Southeastern La.,143,160.1031155082133,148.1031155082133,94.32000000000001,17.103115508213307,True,17.103115508213307,-5.103115508213307,2025-11-15
Kansas,Princeton,133,165.10119454871997,153.10119454871997,81.08,32.101194548719974,True,32.101194548719974,-20.101194548719974,2025-11-15
UC San Diego,Idaho,142,173.09072292242107,161.09072292242107,80.17999999999999,31.090722922421065,True,31.090722922421065,-19.090722922421065,2025-11-15
Santa Clara,Nevada,181,167.34965798756156,155.34965798756156,85.84,-13.650342012438443,False,-13.650342012438443,25.650342012438443,2025-11-15
Lipscomb,Bryan,151,158.63074942473077,146.63074942473077,81.64,7.630749424730766,True,7.630749424730766,4.369250575269234,2025-11-15
Oral Roberts,Belmont,143,170.15769230048966,158.15769230048966,82.94,27.157692300489657,True,27.157692300489657,-15.157692300489657,2025-11-15
Elon,Gardner-Webb,179,163.2665422563693,151.2665422563693,81.04,-15.733457743630709,False,-15.733457743630709,27.73345774363071,2025-11-15
Villanova,Duquesne,164,173.4610065788826,161.4610065788826,81.32000000000001,9.461006578882603,True,9.461006578882603,2.5389934211173966,2025-11-15
New Mexico St.,New Mexico,144,163.67850648137193,151.67850648137193,85.56,19.678506481371926,True,19.678506481371926,-7.678506481371926,2025-11-15
Seattle U,Idaho St.,157,165.13699117810404,153.13699117810404,80.78,8.13699117810404,True,8.13699117810404,3.86300882189596,2025-11-15
San Francisco,Bradley,139,168.75147440658952,156.75147440658952,82.06,29.751474406589523,True,29.751474406589523,-17.751474406589523,2025-11-15
Colorado,Providence,185,178.4394823061945,166.4394823061945,85.2,-6.560517693805508,False,-6.560517693805508,18.560517693805508,2025-11-14
Ole Miss,CSU Bakersfield,142,147.7210606821133,135.7210606821133,82.56,5.72106068211329,True,5.72106068211329,6.27893931788671,2025-11-14
UCLA,Arizona,134,169.00985330070768,157.00985330070768,80.88,35.009853300707675,True,35.009853300707675,-23.009853300707675,2025-11-14
California Baptist,Western Ill.,128,159.7994165050508,147.7994165050508,89.94,31.7994165050508,True,31.7994165050508,-19.7994165050508,2025-11-14
Saint Mary's (CA),North Texas,129,160.4469326934755,148.4469326934755,80.56,31.446932693475503,True,31.446932693475503,-19.446932693475503,2025-11-14
Col. of Charleston,South Carolina St.,149,166.36117986365872,154.36117986365872,81.52000000000001,17.36117986365872,True,17.36117986365872,-5.36117986365872,2025-11-14
Bucknell,Hofstra,160,162.89214614606877,150.89214614606877,82.17999999999999,2.892146146068768,True,2.892146146068768,9.107853853931232,2025-11-14
Kentucky,Eastern Ill.,152,158.7413251129244,146.7413251129244,80.10000000000001,6.741325112924386,True,6.741325112924386,5.258674887075614,2025-11-14
Baylor,Tarleton St.,175,176.2367959721502,164.2367959721502,85.74000000000001,1.2367959721501904,True,1.2367959721501904,10.76320402784981,2025-11-14
Massachusetts,Le Moyne,174,170.8593594137083,158.8593594137083,80.14,-3.1406405862917097,False,-3.1406405862917097,15.14064058629171,2025-11-13
N.C. A&T,Washington Adventist,172,161.35945094320672,149.35945094320672,83.62,-10.640549056793276,False,-10.640549056793276,22.640549056793276,2025-11-13
Grambling,Southern Miss.,145,165.6306617054589,153.6306617054589,82.24000000000001,20.63066170545889,True,20.63066170545889,-8.630661705458891,2025-11-13
Alabama,Purdue,167,181.9548595434455,169.9548595434455,82.64,14.954859543445508,True,14.954859543445508,-2.954859543445508,2025-11-13
West Virginia,Pittsburgh,120,164.09294386748724,152.09294386748724,85.58,44.092943867487236,True,44.092943867487236,-32.092943867487236,2025-11-13
UNC Asheville,Bryan,146,164.92336636512437,152.92336636512437,83.36,18.923366365124366,True,18.923366365124366,-6.923366365124366,2025-11-13
St. Thomas (MN),Green Bay,141,171.69630538307194,159.69630538307194,81.82000000000001,30.696305383071945,True,30.696305383071945,-18.696305383071945,2025-11-13
Kansas St.,California,195,172.1725754414584,160.1725754414584,80.62,-22.827424558541594,False,-22.827424558541594,34.827424558541594,2025-11-13
Houston Christian,ULM,133,158.69778110531877,146.69778110531877,81.46,25.697781105318768,True,25.697781105318768,-13.697781105318768,2025-11-13
Nevada,Southern Ill.,167,164.75869470260017,152.75869470260017,82.32000000000001,-2.2413052973998333,False,-2.2413052973998333,14.241305297399833,2025-11-12
Oregon St.,North Texas,130,163.4678145715875,151.4678145715875,81.22,33.467814571587496,True,33.467814571587496,-21.467814571587496,2025-11-12
San Diego,Idaho,152,177.05858738372297,165.05858738372297,80.24,25.058587383722966,True,25.058587383722966,-13.058587383722966,2025-11-12
Fresno St.,UC San Diego,151,167.88431537277847,155.88431537277847,85.24000000000001,16.884315372778474,True,16.884315372778474,-4.884315372778474,2025-11-12
Oklahoma St.,Prairie View,161,171.2938201021624,159.2938201021624,80.62,10.293820102162414,True,10.293820102162414,1.7061798978375862,2025-11-12
St. Bonaventure,Siena,141,169.80685222922227,157.80685222922227,89.52,28.806852229222272,True,28.806852229222272,-16.806852229222272,2025-11-12
Longwood,James Madison,154,177.35585691224173,165.35585691224173,82.08,23.355856912241734,True,23.355856912241734,-11.355856912241734,2025-11-12
Georgetown,Binghamton,153,171.79160908728136,159.79160908728136,82.39999999999999,18.79160908728136,True,18.79160908728136,-6.791609087281358,2025-11-12
Marshall,Elon,185,174.01975759638992,162.01975759638992,80.60000000000001,-10.980242403610077,False,-10.980242403610077,22.980242403610077,2025-11-12
Southeast Mo. St.,Webster,128,147.78757863412974,135.78757863412974,80.56,19.787578634129744,True,19.787578634129744,-7.787578634129744,2025-11-12
Akron,Penn St.-Shenango,160,179.76574213947887,167.76574213947887,82.19999999999999,19.765742139478874,True,19.765742139478874,-7.765742139478874,2025-11-12
UCF,Florida A&M,157,172.14892174637802,160.14892174637802,88.14,15.148921746378022,True,15.148921746378022,-3.148921746378022,2025-11-11
Temple,La Salle,153,177.15328983494743,165.15328983494743,85.84,24.15328983494743,True,24.15328983494743,-12.15328983494743,2025-11-11
Florida,Florida St.,154,164.57668869698625,152.57668869698625,80.2,10.576688696986253,True,10.576688696986253,1.4233113030137474,2025-11-11
